first_year,fixed_runtime,is_action,is_adventure,is_animation,is_biography,is_comedy,is_crime,is_documentary,is_drama,is_family,is_fantasy,is_game,is_history,is_horror,is_music,is_musical,is_mystery,is_news,is_reality,is_romance,is_sci,is_short,is_sport,is_talk,is_thriller,is_war,is_western,release_month,release_weekday,release_monthday,stemmed_plot,stemmed_keywords,keyword_adult,keyword_african,keyword_alien,keyword_american,keyword_angel,keyword_anim,keyword_base,keyword_best,keyword_black,keyword_book,keyword_boy,keyword_boyfriend,keyword_brother,keyword_california,keyword_celebr,keyword_charact,keyword_child,keyword_citi,keyword_comedi,keyword_comedian,keyword_comic,keyword_cult,keyword_daughter,keyword_death,keyword_detect,keyword_doctor,keyword_evil,keyword_famili,keyword_father,keyword_femal,keyword_fiction,keyword_friend,keyword_friendship,keyword_gay,keyword_girl,keyword_girlfriend,keyword_hero,keyword_humor,keyword_husband,keyword_interraci,keyword_interview,keyword_investig,keyword_joke,keyword_life,keyword_live,keyword_love,keyword_male,keyword_man,keyword_marriag,keyword_mother,keyword_murder,keyword_offic,keyword_parent,keyword_parodi,keyword_play,keyword_polic,keyword_power,keyword_protagonist,keyword_relationship,keyword_satir,keyword_school,keyword_secret,keyword_sex,keyword_share,keyword_sister,keyword_sitcom,keyword_social,keyword_son,keyword_spoken,keyword_spoof,keyword_stand,keyword_student,keyword_superhero,keyword_supernatur,keyword_surreal,keyword_teenag,keyword_versu,keyword_villain,keyword_violenc,keyword_wife,keyword_woman,keyword_york,cancelled
2013,43.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.0,1.0,24.0,"[an, invis, and, mysteri, forc, field, descend, upon, a, small, actual, town, of, chester, mill, main, usa, trap, resid, insid, cut, off, from, the, rest, of, civil, the, trap, townspeopl, must, discov, the, secret, and, purpos, of, the, dome, or, sphere, and, it, origin, while, come, to, learn, more, than, they, ever, knew, about, each, other, and, anim, too]",trap dome invis barrier base on novel polic offic barrier cut off from the outsid world same sex parent teenag girl lesbian mother lesbian relationship lesbian mad priest lesbian parent no cellphon signal lesbian coupl fallout shelter small town propan meth lab dome citi charact kill one by one polic priest mother daughter relationship gay parent lesbian interest corrupt politician ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,30.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,21.0,"[contest, answer, multipl, choic, question, in, a, bid, to, win, a, 50000, cash, prize]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,44.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,0.0,28.0,"[follow, the, live, of, the, wwe, diva, in, their, work, and, relationship]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,4.0,1.0,"[the, rabbid, from, ubisoft, rave, rabbid, video, game, seri, star, in, their, own, televis, seri, they, explor, earth, and, discov, new, thing]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,15.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,2.0,"[the, misadventur, of, a, magic, uncl, and, grandpa, to, everyon, in, the, world, and, hi, friend]",grandpa uncl ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,6.0,"[all, the, student, in, a, school, are, distribut, accord, to, their, individu, score, in, a, test, into, six, section, and, are, treat, accord, to, their, section, the, least, score, student, then, make]", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,30.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,5.0,13.0,"[the, seri, follow, wander, and, hi, steed, sylvia, travel, from, planet, to, planet, help, peopl, have, fun, and, live, free, all, against, lord, hater, and, hi, armi, of, watchdog, evil, reign]",nomad villain best friend surreal talk skeleton banjo optim naivet alien intergalact travel charact name in titl ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2013,22.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"[liv, a, popular, televis, star, whose, show, ha, just, finish, it, run, and, maddi, an, outstand, student, and, school, basketbal, star, whose, popular, is, on, the, rise, until, liv, make, a, return, to, their, high, school]",twin ident twin teenag girl teenag actress twin girl 2010 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,22.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,2.0,17.0,"[captain, ray, holt, andr, braugher, take, over, brooklyn, 99th, precinct, which, includ, detect, jake, peralta, andi, samberg, a, talent, but, carefre, detect, who, use, to, do, whatev, he, want, the, other, employe, of, the, 99th, precinct, includ, detect, ami, santiago, melissa, fumero, jake, over, achiev, and, competit, partner, detect, rosa, diaz, stephani, beatriz, a, tough, and, kept, to, herself, cowork, detect, charl, boyl, joe, lo, truglio, jake, best, friend, who, also, ha, crush, on, rosa, detect, sergeant, terri, jefford, terri, crew, wa, recent, taken, off, the, field, after, the, birth, of, hi, twin, girl, and, gina, linetti, chelsea, peretti, the, precinct, sarcast, administr]",polic new york citi polic detect number in titl polic captain african american borough name in titl brooklyn new york citi gay cop gay charact gay african american repetit in titl detect brooklyn law enforc satir satir crimin arrest polic precinct solv crime case investig new york gay interest punctuat in titl ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1989,60.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,"[arsenio, hall, host, thi, hip, latenight, talk, show]",show host late night winner usa twentieth centuri tv studio tv show tv seri tv broadcast televis studio televis show televis seri televis broadcast singer seri nomin live show four word titl entertain seri entertain emmi award broadcast award winner award rapper polit politician polit satir us presid topic humor televis stand up comedi spoof song social satir sing satir run gag parodi one liner musician music guest live perform celebr guest audienc particip actor name in titl rap hip hop stand up comedian pop cultur perform name in titl music number monologu live audienc joke comedian celebr actor play himself guest interview african american non fiction charact name in titl ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
